2025-12-05 08:12:07 [INFO]  Executing: sp_GetCasesAsJson
2025-12-05 08:15:20 [INFO]  Cases Logs
2025-12-05 08:15:20 [INFO]  Batch 600
2025-12-05 08:15:20 [INFO]  -------------------
2025-12-05 08:15:33 [INFO]  -------------------
2025-12-05 08:15:33 [INFO]  Cases Logs
2025-12-05 08:15:33 [INFO]  Batch 650
2025-12-05 08:15:33 [INFO]  -------------------
2025-12-05 08:15:49 [INFO]  -------------------
2025-12-05 08:15:49 [INFO]  Cases Logs
2025-12-05 08:15:49 [INFO]  Batch 700
2025-12-05 08:15:49 [INFO]  -------------------
2025-12-05 08:16:07 [INFO]  -------------------
2025-12-05 08:16:07 [INFO]  Cases Logs
2025-12-05 08:16:07 [INFO]  Batch 750
2025-12-05 08:16:07 [INFO]  -------------------
2025-12-05 08:16:25 [INFO]  -------------------
2025-12-05 08:16:25 [INFO]  Cases Logs
2025-12-05 08:16:25 [INFO]  Batch 800
2025-12-05 08:16:25 [INFO]  -------------------
2025-12-05 08:16:38 [INFO]  -------------------
2025-12-05 08:16:38 [INFO]  Cases Logs
2025-12-05 08:16:38 [INFO]  Batch 850
2025-12-05 08:16:38 [INFO]  -------------------
2025-12-05 08:16:50 [INFO]  -------------------
2025-12-05 08:16:50 [INFO]  Cases Logs
2025-12-05 08:16:50 [INFO]  Batch 900
2025-12-05 08:16:50 [INFO]  -------------------
2025-12-05 08:17:02 [INFO]  -------------------
2025-12-05 08:17:02 [INFO]  Cases Logs
2025-12-05 08:17:02 [INFO]  Batch 950
2025-12-05 08:17:02 [INFO]  -------------------
2025-12-05 08:17:14 [INFO]  -------------------
2025-12-05 08:17:14 [INFO]  Cases Logs
2025-12-05 08:17:14 [INFO]  Batch 1000
2025-12-05 08:17:14 [INFO]  -------------------
2025-12-05 08:17:27 [INFO]  -------------------
2025-12-05 08:17:27 [INFO]  Cases Logs
2025-12-05 08:17:27 [INFO]  Batch 1050
2025-12-05 08:17:27 [INFO]  -------------------
2025-12-05 08:17:43 [INFO]  -------------------
2025-12-05 08:17:43 [INFO]  Cases Logs
2025-12-05 08:17:43 [INFO]  Batch 1100
2025-12-05 08:17:43 [INFO]  -------------------
2025-12-05 08:18:07 [INFO]  -------------------
2025-12-05 08:18:07 [INFO]  Cases Logs
2025-12-05 08:18:07 [INFO]  Batch 1150
2025-12-05 08:18:07 [INFO]  -------------------
2025-12-05 08:18:22 [INFO]  -------------------
2025-12-05 08:18:22 [INFO]  Cases Logs
2025-12-05 08:18:22 [INFO]  Batch 1200
2025-12-05 08:18:22 [INFO]  -------------------
2025-12-05 08:18:34 [INFO]  -------------------
2025-12-05 08:18:34 [INFO]  Cases Logs
2025-12-05 08:18:34 [INFO]  Batch 1250
2025-12-05 08:18:34 [INFO]  -------------------
2025-12-05 08:18:46 [INFO]  -------------------
2025-12-05 08:18:46 [INFO]  Cases Logs
2025-12-05 08:18:46 [INFO]  Batch 1300
2025-12-05 08:18:46 [INFO]  -------------------
2025-12-05 08:19:00 [INFO]  -------------------
2025-12-05 08:19:00 [INFO]  Cases Logs
2025-12-05 08:19:00 [INFO]  Batch 1350
2025-12-05 08:19:00 [INFO]  -------------------
2025-12-05 08:19:15 [INFO]  -------------------
2025-12-05 08:19:15 [INFO]  Cases Logs
2025-12-05 08:19:15 [INFO]  Batch 1400
2025-12-05 08:19:15 [INFO]  -------------------
2025-12-05 08:19:27 [INFO]  -------------------
2025-12-05 08:19:27 [INFO]  Cases Logs
2025-12-05 08:19:27 [INFO]  Batch 1450
2025-12-05 08:19:27 [INFO]  -------------------
2025-12-05 08:19:41 [INFO]  -------------------
2025-12-05 08:19:41 [INFO]  Cases Logs
2025-12-05 08:19:41 [INFO]  Batch 1500
2025-12-05 08:19:41 [INFO]  -------------------
2025-12-05 08:20:17 [INFO]  -------------------
2025-12-05 08:20:17 [INFO]  Cases Logs
2025-12-05 08:20:17 [INFO]  Batch 1550
2025-12-05 08:20:17 [INFO]  -------------------
2025-12-05 08:20:33 [INFO]  -------------------
2025-12-05 08:20:33 [INFO]  Cases Logs
2025-12-05 08:20:33 [INFO]  Batch 1600
2025-12-05 08:20:33 [INFO]  -------------------
2025-12-05 08:20:51 [INFO]  -------------------
2025-12-05 08:20:51 [INFO]  Cases Logs
2025-12-05 08:20:51 [INFO]  Batch 1650
2025-12-05 08:20:51 [INFO]  -------------------
2025-12-05 08:21:07 [INFO]  -------------------
2025-12-05 08:21:07 [INFO]  Cases Logs
2025-12-05 08:21:07 [INFO]  Batch 1700
2025-12-05 08:21:07 [INFO]  -------------------
2025-12-05 08:21:23 [INFO]  -------------------
2025-12-05 08:21:23 [INFO]  Cases Logs
2025-12-05 08:21:23 [INFO]  Batch 1750
2025-12-05 08:21:23 [INFO]  -------------------
2025-12-05 08:21:37 [INFO]  -------------------
2025-12-05 08:21:37 [INFO]  Cases Logs
2025-12-05 08:21:37 [INFO]  Batch 1800
2025-12-05 08:21:37 [INFO]  -------------------
2025-12-05 08:22:13 [INFO]  -------------------
2025-12-05 08:22:13 [INFO]  Cases Logs
2025-12-05 08:22:13 [INFO]  Batch 1850
2025-12-05 08:22:13 [INFO]  -------------------
2025-12-05 08:22:40 [INFO]  -------------------
2025-12-05 08:22:40 [INFO]  Cases Logs
2025-12-05 08:22:40 [INFO]  Batch 1900
2025-12-05 08:22:40 [INFO]  -------------------
2025-12-05 08:23:07 [INFO]  -------------------
2025-12-05 08:23:07 [INFO]  Cases Logs
2025-12-05 08:23:07 [INFO]  Batch 1950
2025-12-05 08:23:07 [INFO]  -------------------
2025-12-05 08:23:23 [INFO]  -------------------
2025-12-05 08:23:23 [INFO]  Cases Logs
2025-12-05 08:23:23 [INFO]  Batch 2000
2025-12-05 08:23:23 [INFO]  -------------------
2025-12-05 08:23:38 [INFO]  -------------------
2025-12-05 08:23:38 [INFO]  Cases Logs
2025-12-05 08:23:38 [INFO]  Batch 2050
2025-12-05 08:23:38 [INFO]  -------------------
2025-12-05 08:23:55 [INFO]  -------------------
2025-12-05 08:23:55 [INFO]  Cases Logs
2025-12-05 08:23:55 [INFO]  Batch 2100
2025-12-05 08:23:55 [INFO]  -------------------
2025-12-05 08:24:07 [INFO]  -------------------
2025-12-05 08:24:07 [INFO]  Cases Logs
2025-12-05 08:24:07 [INFO]  Batch 2150
2025-12-05 08:24:07 [INFO]  -------------------
2025-12-05 08:24:19 [INFO]  -------------------
2025-12-05 08:24:19 [INFO]  Cases Logs
2025-12-05 08:24:19 [INFO]  Batch 2200
2025-12-05 08:24:19 [INFO]  -------------------
2025-12-05 08:24:41 [INFO]  -------------------
2025-12-05 08:24:41 [INFO]  Cases Logs
2025-12-05 08:24:41 [INFO]  Batch 2250
2025-12-05 08:24:41 [INFO]  -------------------
2025-12-05 08:25:00 [INFO]  -------------------
2025-12-05 08:25:00 [INFO]  Cases Logs
2025-12-05 08:25:00 [INFO]  Batch 2300
2025-12-05 08:25:00 [INFO]  -------------------
2025-12-05 08:25:16 [INFO]  -------------------
2025-12-05 08:25:16 [INFO]  Cases Logs
2025-12-05 08:25:16 [INFO]  Batch 2350
2025-12-05 08:25:16 [INFO]  -------------------
2025-12-05 08:25:29 [INFO]  -------------------
2025-12-05 08:25:29 [INFO]  Cases Logs
2025-12-05 08:25:29 [INFO]  Batch 2400
2025-12-05 08:25:29 [INFO]  -------------------
2025-12-05 08:25:53 [INFO]  -------------------
2025-12-05 08:25:53 [INFO]  Cases Logs
2025-12-05 08:25:53 [INFO]  Batch 2450
2025-12-05 08:25:53 [INFO]  -------------------
2025-12-05 08:26:09 [INFO]  -------------------
2025-12-05 08:26:09 [INFO]  Cases Logs
2025-12-05 08:26:09 [INFO]  Batch 2500
2025-12-05 08:26:09 [INFO]  -------------------
2025-12-05 08:26:26 [INFO]  -------------------
2025-12-05 08:26:26 [INFO]  Cases Logs
2025-12-05 08:26:26 [INFO]  Batch 2550
2025-12-05 08:26:26 [INFO]  -------------------
2025-12-05 08:26:52 [INFO]  -------------------
2025-12-05 08:26:52 [INFO]  Cases Logs
2025-12-05 08:26:52 [INFO]  Batch 2600
2025-12-05 08:26:52 [INFO]  -------------------
2025-12-05 08:27:16 [INFO]  -------------------
2025-12-05 08:27:16 [INFO]  Cases Logs
2025-12-05 08:27:16 [INFO]  Batch 2650
2025-12-05 08:27:16 [INFO]  -------------------
2025-12-05 08:27:38 [INFO]  -------------------
2025-12-05 08:27:38 [INFO]  Cases Logs
2025-12-05 08:27:38 [INFO]  Batch 2700
2025-12-05 08:27:38 [INFO]  -------------------
2025-12-05 08:28:05 [INFO]  -------------------
2025-12-05 08:28:05 [INFO]  Cases Logs
2025-12-05 08:28:05 [INFO]  Batch 2750
2025-12-05 08:28:05 [INFO]  -------------------
2025-12-05 08:28:24 [INFO]  -------------------
2025-12-05 08:28:24 [INFO]  Cases Logs
2025-12-05 08:28:24 [INFO]  Batch 2800
2025-12-05 08:28:24 [INFO]  -------------------
2025-12-05 08:28:43 [INFO]  -------------------
2025-12-05 08:28:43 [INFO]  Cases Logs
2025-12-05 08:28:43 [INFO]  Batch 2850
2025-12-05 08:28:43 [INFO]  -------------------
2025-12-05 08:28:58 [INFO]  -------------------
2025-12-05 08:28:58 [INFO]  Cases Logs
2025-12-05 08:28:58 [INFO]  Batch 2900
2025-12-05 08:28:58 [INFO]  -------------------
2025-12-05 08:29:28 [INFO]  -------------------
2025-12-05 08:29:28 [INFO]  Cases Logs
2025-12-05 08:29:28 [INFO]  Batch 2950
2025-12-05 08:29:28 [INFO]  -------------------
2025-12-05 08:29:56 [INFO]  -------------------
2025-12-05 08:29:56 [INFO]  Cases Logs
2025-12-05 08:29:56 [INFO]  Batch 3000
2025-12-05 08:29:56 [INFO]  -------------------
2025-12-05 08:30:16 [INFO]  -------------------
2025-12-05 08:30:16 [INFO]  Cases Logs
2025-12-05 08:30:16 [INFO]  Batch 3050
2025-12-05 08:30:16 [INFO]  -------------------
2025-12-05 08:31:00 [INFO]  -------------------
2025-12-05 08:31:00 [INFO]  Cases Logs
2025-12-05 08:31:00 [INFO]  Batch 3100
2025-12-05 08:31:00 [INFO]  -------------------
2025-12-05 08:31:22 [INFO]  -------------------
2025-12-05 08:31:22 [INFO]  Cases Logs
2025-12-05 08:31:22 [INFO]  Batch 3150
2025-12-05 08:31:22 [INFO]  -------------------
2025-12-05 08:32:24 [INFO]  -------------------
2025-12-05 08:32:24 [INFO]  Cases Logs
2025-12-05 08:32:24 [INFO]  Batch 3200
2025-12-05 08:32:24 [INFO]  -------------------
2025-12-05 08:32:43 [INFO]  -------------------
2025-12-05 08:32:43 [INFO]  Cases Logs
2025-12-05 08:32:43 [INFO]  Batch 3250
2025-12-05 08:32:43 [INFO]  -------------------
2025-12-05 08:32:57 [INFO]  -------------------
2025-12-05 08:32:57 [INFO]  Cases Logs
2025-12-05 08:32:57 [INFO]  Batch 3300
2025-12-05 08:32:57 [INFO]  -------------------
2025-12-05 08:33:13 [INFO]  -------------------
2025-12-05 08:33:13 [INFO]  Cases Logs
2025-12-05 08:33:13 [INFO]  Batch 3350
2025-12-05 08:33:13 [INFO]  -------------------
2025-12-05 08:33:30 [INFO]  -------------------
2025-12-05 08:33:30 [INFO]  Cases Logs
2025-12-05 08:33:30 [INFO]  Batch 3400
2025-12-05 08:33:30 [INFO]  -------------------
2025-12-05 08:33:52 [INFO]  -------------------
2025-12-05 08:33:52 [INFO]  Cases Logs
2025-12-05 08:33:52 [INFO]  Batch 3450
2025-12-05 08:33:52 [INFO]  -------------------
2025-12-05 08:34:07 [INFO]  -------------------
2025-12-05 08:34:07 [INFO]  Cases Logs
2025-12-05 08:34:07 [INFO]  Batch 3500
2025-12-05 08:34:07 [INFO]  -------------------
2025-12-05 08:34:22 [INFO]  -------------------
2025-12-05 08:34:22 [INFO]  Cases Logs
2025-12-05 08:34:22 [INFO]  Batch 3550
2025-12-05 08:34:22 [INFO]  -------------------
2025-12-05 08:34:36 [INFO]  -------------------
2025-12-05 08:34:36 [INFO]  Cases Logs
2025-12-05 08:34:36 [INFO]  Batch 3600
2025-12-05 08:34:36 [INFO]  -------------------
2025-12-05 08:34:54 [INFO]  -------------------
2025-12-05 08:34:54 [INFO]  Cases Logs
2025-12-05 08:34:54 [INFO]  Batch 3650
2025-12-05 08:34:54 [INFO]  -------------------
2025-12-05 08:35:12 [INFO]  -------------------
2025-12-05 08:35:12 [INFO]  Cases Logs
2025-12-05 08:35:12 [INFO]  Batch 3700
2025-12-05 08:35:12 [INFO]  -------------------
2025-12-05 08:35:26 [INFO]  -------------------
2025-12-05 08:35:26 [INFO]  Cases Logs
2025-12-05 08:35:26 [INFO]  Batch 3750
2025-12-05 08:35:26 [INFO]  -------------------
2025-12-05 08:35:48 [INFO]  -------------------
2025-12-05 08:35:48 [INFO]  Cases Logs
2025-12-05 08:35:48 [INFO]  Batch 3800
2025-12-05 08:35:48 [INFO]  -------------------
2025-12-05 08:36:07 [INFO]  -------------------
2025-12-05 08:36:07 [INFO]  Cases Logs
2025-12-05 08:36:07 [INFO]  Batch 3850
2025-12-05 08:36:07 [INFO]  -------------------
2025-12-05 08:36:21 [INFO]  -------------------
2025-12-05 08:36:21 [INFO]  Cases Logs
2025-12-05 08:36:21 [INFO]  Batch 3900
2025-12-05 08:36:21 [INFO]  -------------------
2025-12-05 08:36:36 [INFO]  -------------------
2025-12-05 08:36:36 [INFO]  Cases Logs
2025-12-05 08:36:36 [INFO]  Batch 3950
2025-12-05 08:36:36 [INFO]  -------------------
2025-12-05 08:36:50 [INFO]  -------------------
2025-12-05 08:36:50 [INFO]  Cases Logs
2025-12-05 08:36:50 [INFO]  Batch 4000
2025-12-05 08:36:50 [INFO]  -------------------
2025-12-05 08:37:07 [INFO]  -------------------
2025-12-05 08:37:07 [INFO]  Cases Logs
2025-12-05 08:37:07 [INFO]  Batch 4050
2025-12-05 08:37:07 [INFO]  -------------------
2025-12-05 08:37:57 [INFO]  -------------------
2025-12-05 08:37:57 [INFO]  Cases Logs
2025-12-05 08:37:57 [INFO]  Batch 4100
2025-12-05 08:37:57 [INFO]  -------------------
2025-12-05 08:38:16 [INFO]  -------------------
2025-12-05 08:38:16 [INFO]  Cases Logs
2025-12-05 08:38:16 [INFO]  Batch 4150
2025-12-05 08:38:16 [INFO]  -------------------
2025-12-05 08:38:34 [INFO]  -------------------
2025-12-05 08:38:34 [INFO]  Cases Logs
2025-12-05 08:38:34 [INFO]  Batch 4200
2025-12-05 08:38:34 [INFO]  -------------------
2025-12-05 08:38:48 [INFO]  -------------------
2025-12-05 08:38:48 [INFO]  Cases Logs
2025-12-05 08:38:48 [INFO]  Batch 4250
2025-12-05 08:38:48 [INFO]  -------------------
2025-12-05 08:39:05 [INFO]  -------------------
2025-12-05 08:39:05 [INFO]  Cases Logs
2025-12-05 08:39:05 [INFO]  Batch 4300
2025-12-05 08:39:05 [INFO]  -------------------
2025-12-05 08:39:21 [INFO]  -------------------
2025-12-05 08:39:21 [INFO]  Cases Logs
2025-12-05 08:39:21 [INFO]  Batch 4350
2025-12-05 08:39:21 [INFO]  -------------------
2025-12-05 08:39:43 [INFO]  -------------------
2025-12-05 08:39:43 [INFO]  Cases Logs
2025-12-05 08:39:43 [INFO]  Batch 4400
2025-12-05 08:39:43 [INFO]  -------------------
2025-12-05 08:39:58 [INFO]  -------------------
2025-12-05 08:39:58 [INFO]  Cases Logs
2025-12-05 08:39:58 [INFO]  Batch 4450
2025-12-05 08:39:58 [INFO]  -------------------
2025-12-05 08:40:18 [INFO]  -------------------
2025-12-05 08:40:18 [INFO]  Cases Logs
2025-12-05 08:40:18 [INFO]  Batch 4500
2025-12-05 08:40:18 [INFO]  -------------------
2025-12-05 08:40:32 [INFO]  -------------------
2025-12-05 08:40:32 [INFO]  Cases Logs
2025-12-05 08:40:32 [INFO]  Batch 4550
2025-12-05 08:40:32 [INFO]  -------------------
2025-12-05 08:40:51 [INFO]  -------------------
2025-12-05 08:40:51 [INFO]  Cases Logs
2025-12-05 08:40:51 [INFO]  Batch 4600
2025-12-05 08:40:51 [INFO]  -------------------
2025-12-05 08:41:07 [INFO]  -------------------
2025-12-05 08:41:07 [INFO]  Cases Logs
2025-12-05 08:41:07 [INFO]  Batch 4650
2025-12-05 08:41:07 [INFO]  -------------------
2025-12-05 08:41:18 [INFO]  -------------------
2025-12-05 08:41:18 [INFO]  Cases Logs
2025-12-05 08:41:18 [INFO]  Batch 4700
2025-12-05 08:41:18 [INFO]  -------------------
2025-12-05 08:41:30 [INFO]  -------------------
2025-12-05 08:41:30 [INFO]  Cases Logs
2025-12-05 08:41:30 [INFO]  Batch 4750
2025-12-05 08:41:30 [INFO]  -------------------
2025-12-05 08:41:42 [INFO]  -------------------
2025-12-05 08:41:42 [INFO]  Cases Logs
2025-12-05 08:41:42 [INFO]  Batch 4800
2025-12-05 08:41:42 [INFO]  -------------------
2025-12-05 08:42:02 [INFO]  -------------------
2025-12-05 08:42:02 [INFO]  Cases Logs
2025-12-05 08:42:02 [INFO]  Batch 4850
2025-12-05 08:42:02 [INFO]  -------------------
2025-12-05 08:42:19 [INFO]  -------------------
2025-12-05 08:42:19 [INFO]  Cases Logs
2025-12-05 08:42:19 [INFO]  Batch 4900
2025-12-05 08:42:19 [INFO]  -------------------
2025-12-05 08:43:49 [INFO]  -------------------
2025-12-05 08:43:49 [INFO]  Cases Logs
2025-12-05 08:43:49 [INFO]  Batch 4950
2025-12-05 08:43:49 [INFO]  -------------------
2025-12-05 08:44:16 [INFO]  -------------------
2025-12-05 08:44:16 [INFO]  Cases Logs
2025-12-05 08:44:16 [INFO]  Batch 5000
2025-12-05 08:44:16 [INFO]  -------------------
2025-12-05 08:44:34 [INFO]  -------------------
2025-12-05 08:44:34 [INFO]  Cases Logs
2025-12-05 08:44:34 [INFO]  Batch 5050
2025-12-05 08:44:34 [INFO]  -------------------
2025-12-05 08:44:49 [INFO]  -------------------
2025-12-05 08:44:49 [INFO]  Cases Logs
2025-12-05 08:44:49 [INFO]  Batch 5100
2025-12-05 08:44:49 [INFO]  -------------------
2025-12-05 08:45:20 [INFO]  -------------------
2025-12-05 08:45:20 [INFO]  Cases Logs
2025-12-05 08:45:20 [INFO]  Batch 5150
2025-12-05 08:45:20 [INFO]  -------------------
2025-12-05 08:45:37 [INFO]  -------------------
2025-12-05 08:45:37 [INFO]  Cases Logs
2025-12-05 08:45:37 [INFO]  Batch 5200
2025-12-05 08:45:37 [INFO]  -------------------
2025-12-05 08:45:53 [INFO]  -------------------
2025-12-05 08:45:53 [INFO]  Cases Logs
2025-12-05 08:45:53 [INFO]  Batch 5250
2025-12-05 08:45:53 [INFO]  -------------------
2025-12-05 08:46:14 [INFO]  -------------------
2025-12-05 08:46:14 [INFO]  Cases Logs
2025-12-05 08:46:14 [INFO]  Batch 5300
2025-12-05 08:46:14 [INFO]  -------------------
2025-12-05 08:46:41 [INFO]  -------------------
2025-12-05 08:46:41 [INFO]  Cases Logs
2025-12-05 08:46:41 [INFO]  Batch 5350
2025-12-05 08:46:41 [INFO]  -------------------
2025-12-05 08:46:57 [INFO]  -------------------
2025-12-05 08:46:57 [INFO]  Cases Logs
2025-12-05 08:46:57 [INFO]  Batch 5400
2025-12-05 08:46:57 [INFO]  -------------------
2025-12-05 08:47:17 [INFO]  -------------------
2025-12-05 08:47:17 [INFO]  Cases Logs
2025-12-05 08:47:17 [INFO]  Batch 5450
2025-12-05 08:47:17 [INFO]  -------------------
2025-12-05 08:47:36 [INFO]  -------------------
2025-12-05 08:47:36 [INFO]  Cases Logs
2025-12-05 08:47:36 [INFO]  Batch 5500
2025-12-05 08:47:36 [INFO]  -------------------
2025-12-05 08:47:51 [INFO]  -------------------
2025-12-05 08:47:51 [INFO]  Cases Logs
2025-12-05 08:47:51 [INFO]  Batch 5550
2025-12-05 08:47:51 [INFO]  -------------------
2025-12-05 08:48:28 [INFO]  -------------------
2025-12-05 08:48:28 [INFO]  Cases Logs
2025-12-05 08:48:28 [INFO]  Batch 5600
2025-12-05 08:48:28 [INFO]  -------------------
2025-12-05 08:48:43 [INFO]  -------------------
2025-12-05 08:48:43 [INFO]  Cases Logs
2025-12-05 08:48:43 [INFO]  Batch 5650
2025-12-05 08:48:43 [INFO]  -------------------
2025-12-05 08:48:59 [INFO]  -------------------
2025-12-05 08:48:59 [INFO]  Cases Logs
2025-12-05 08:48:59 [INFO]  Batch 5700
2025-12-05 08:48:59 [INFO]  -------------------
2025-12-05 08:49:15 [INFO]  -------------------
2025-12-05 08:49:15 [INFO]  Cases Logs
2025-12-05 08:49:15 [INFO]  Batch 5750
2025-12-05 08:49:15 [INFO]  -------------------
2025-12-05 08:50:55 [INFO]  -------------------
2025-12-05 08:50:55 [INFO]  Cases Logs
2025-12-05 08:50:55 [INFO]  Batch 5800
2025-12-05 08:50:55 [INFO]  -------------------
2025-12-05 08:51:18 [INFO]  -------------------
2025-12-05 08:51:18 [INFO]  Cases Logs
2025-12-05 08:51:18 [INFO]  Batch 5850
2025-12-05 08:51:18 [INFO]  -------------------
2025-12-05 08:51:34 [INFO]  -------------------
2025-12-05 08:51:34 [INFO]  Cases Logs
2025-12-05 08:51:34 [INFO]  Batch 5900
2025-12-05 08:51:34 [INFO]  -------------------
2025-12-05 08:51:55 [INFO]  -------------------
2025-12-05 08:51:55 [INFO]  Cases Logs
2025-12-05 08:51:55 [INFO]  Batch 5950
2025-12-05 08:51:55 [INFO]  -------------------
2025-12-05 08:52:41 [INFO]  -------------------
2025-12-05 08:52:41 [INFO]  Cases Logs
2025-12-05 08:52:41 [INFO]  Batch 6000
2025-12-05 08:52:41 [INFO]  -------------------
2025-12-05 08:53:12 [INFO]  -------------------
2025-12-05 08:53:12 [INFO]  Cases Logs
2025-12-05 08:53:12 [INFO]  Batch 6050
2025-12-05 08:53:12 [INFO]  -------------------
2025-12-05 08:53:34 [INFO]  -------------------
2025-12-05 08:53:34 [INFO]  Cases Logs
2025-12-05 08:53:34 [INFO]  Batch 6100
2025-12-05 08:53:34 [INFO]  -------------------
2025-12-05 08:54:01 [INFO]  -------------------
2025-12-05 08:54:01 [INFO]  Cases Logs
2025-12-05 08:54:01 [INFO]  Batch 6150
2025-12-05 08:54:01 [INFO]  -------------------
2025-12-05 08:54:19 [INFO]  -------------------
2025-12-05 08:54:19 [INFO]  Cases Logs
2025-12-05 08:54:19 [INFO]  Batch 6200
2025-12-05 08:54:19 [INFO]  -------------------
2025-12-05 08:54:36 [INFO]  -------------------
2025-12-05 08:54:36 [INFO]  Cases Logs
2025-12-05 08:54:36 [INFO]  Batch 6250
2025-12-05 08:54:36 [INFO]  -------------------
2025-12-05 08:55:13 [INFO]  -------------------
2025-12-05 08:55:13 [INFO]  Cases Logs
2025-12-05 08:55:13 [INFO]  Batch 6300
2025-12-05 08:55:13 [INFO]  -------------------
2025-12-05 08:56:30 [INFO]  -------------------
2025-12-05 08:56:30 [INFO]  Cases Logs
2025-12-05 08:56:30 [INFO]  Batch 6350
2025-12-05 08:56:30 [INFO]  -------------------
2025-12-05 08:57:16 [INFO]  -------------------
2025-12-05 08:57:16 [INFO]  Cases Logs
2025-12-05 08:57:16 [INFO]  Batch 6400
2025-12-05 08:57:16 [INFO]  -------------------
2025-12-05 08:57:46 [INFO]  -------------------
2025-12-05 08:57:46 [INFO]  Cases Logs
2025-12-05 08:57:46 [INFO]  Batch 6450
2025-12-05 08:57:46 [INFO]  -------------------
2025-12-05 08:58:24 [INFO]  -------------------
2025-12-05 08:58:24 [INFO]  Cases Logs
2025-12-05 08:58:24 [INFO]  Batch 6500
2025-12-05 08:58:24 [INFO]  -------------------
2025-12-05 08:58:59 [INFO]  -------------------
2025-12-05 08:58:59 [INFO]  Cases Logs
2025-12-05 08:58:59 [INFO]  Batch 6550
2025-12-05 08:58:59 [INFO]  -------------------
2025-12-05 08:59:18 [INFO]  -------------------
2025-12-05 08:59:18 [INFO]  Cases Logs
2025-12-05 08:59:18 [INFO]  Batch 6600
2025-12-05 08:59:18 [INFO]  -------------------
2025-12-05 09:00:02 [INFO]  -------------------
2025-12-05 09:00:02 [INFO]  Cases Logs
2025-12-05 09:00:02 [INFO]  Batch 6650
2025-12-05 09:00:02 [INFO]  -------------------
2025-12-05 09:00:31 [INFO]  -------------------
2025-12-05 09:00:31 [INFO]  Cases Logs
2025-12-05 09:00:31 [INFO]  Batch 6700
2025-12-05 09:00:31 [INFO]  -------------------
2025-12-05 09:00:58 [INFO]  -------------------
2025-12-05 09:00:58 [INFO]  Cases Logs
2025-12-05 09:00:58 [INFO]  Batch 6750
2025-12-05 09:00:58 [INFO]  -------------------
2025-12-05 09:01:36 [INFO]  -------------------
2025-12-05 09:01:36 [INFO]  Cases Logs
2025-12-05 09:01:36 [INFO]  Batch 6800
2025-12-05 09:01:36 [INFO]  -------------------
2025-12-05 09:01:59 [INFO]  -------------------
2025-12-05 09:01:59 [INFO]  Cases Logs
2025-12-05 09:01:59 [INFO]  Batch 6850
2025-12-05 09:01:59 [INFO]  -------------------
2025-12-05 09:02:27 [INFO]  -------------------
2025-12-05 09:02:27 [INFO]  Cases Logs
2025-12-05 09:02:27 [INFO]  Batch 6900
2025-12-05 09:02:27 [INFO]  -------------------
2025-12-05 09:02:45 [INFO]  -------------------
